,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
214,muit obrig pel atença dedic,agradec orientaça encerr convers,pessim servic,nao sei resolv pod auxili,oi poss auxili
215,obrig atença dedic,agradec pel orientaça encerr convers,atendimento ruim,nao sei com resolv isso pod me auxil,oi com po auxili
216,muit obrig pel atenc dedic,agradec pel orientac encerr a convers,atend ruim,nao sei resolv pod auxil,oi com poss auxil
217,obrig atenc dedic,agradec pel orientac encerr convers,decepcionado,estou com um problema complicado e preciso de ajuda,oi po auxili
218,agradeço imensamente voce e um anjo,agradec orientac encerr convers,decepcion,problema complicado preciso ajuda,oi com po auxil
219,agradeço imensamente voce anjo,terminei meu atendimento podemos encerrar,insatisfeito total,estou com um problem complic e precis de ajud,oi poss auxil
220,agradec imens voc e um anjo,terminei atendimento podemos encerrar,insatisfeit total,problem complic precis ajud,oi po auxil
221,agradec imens voc anjo,termin meu atend pod encerr,muito frustrado,estou com um probl complic e prec de ajud,bom dia qual o problema que esta enfrentando
222,obrigado por tudo sou muito grato,termin atend pod encerr,frustrado,probl complic prec ajud,bom dia problema enfrentando
223,obrigado tudo grato,grato pela ajuda encerrando a conversa,muit frustr,por favor me de uma maozinha com isso,bom dia qual o problem que esta enfrent
224,obrig por tud sou muit grat,grato ajuda encerrando conversa,frustr,favor maozinha,bom dia problem enfrent
225,obrig tud grat,grat pel ajud encerr a convers,nao recomendo,por favor me de uma maozinh com isso,bom dia qual o probl que esta enfrent
226,obrig tud muit grat,grat ajud encerr convers,nao recom,favor maozinh,bom dia probl enfrent
227,muito obrigado voce e uma pessoa incrivel,grat pel ajud encerr convers,desapontado demais,estou enfrentando uma situaçao dificil sera que voce pode me orientar,oi qual e a duvida
228,obrigado voce pessoa incrivel,ate mais muito obrigado,desapont dem,enfrentando situaçao dificil sera voce pode orientar,oi duvida
229,muit obrig voc e uma pesso incrivel,ate obrigado,que decepçao,estou enfrentando uma situaçao dificil serum que voce pode me orientar,oi qual e a duv
230,obrig voc pesso incrivel,ate mais muit obrig,decepçao,estou enfrent uma situaça dificil ser que voc pod me orient,oi duv
231,muit obrig voc pesso incrivel,ate obrig,que decepça,enfrentando situaçao dificil serum voce pode orientar,oi como posso ajudar
232,muit obrig voc e uma pess incrivel,ate muit obrig,decepça,estou enfrent uma situaça dificil serum que voc pod me orient,oi com poss ajud
233,muit obrig voc pess incrivel,foi bom conversar ate mais,que decepc,enfrent situaça dificil ser voc pod orient,oi com po ajud
234,obrig voc pess incrivel,bom conversar ate,decepc,enfrent situaça dificil serum voc pod orient,ei
235,muit obrig voc e uma pes incrivel,foi bom convers ate mais,inaceitavel,enfrent situaça dificil voc pod orient,alguem pode me ajudar
236,muit obrig voc pes incrivel,bom convers ate,nao aguento mais,estou enfrent uma situac dificil ser que voc pod me orient,alguem pode ajudar
237,obrig voc pes incrivel,foi um prazer conversar com voce,nao aguento,enfrent situac dificil voc pod orient,algu pod me ajud
238,muit obrig voc e uma pe incrivel,prazer conversar voce,nao aguent mais,estou enfrent uma situac dificil serum que voc pod me orient,algu pod ajud
239,muit obrig voc pe incrivel,foi um praz convers com voc,nao aguent,enfrent situac dificil serum voc pod orient,ola gostaria de saber mais sobre como solucionar falhas eletricas
240,obrig voc pe incrivel,praz convers voc,estou revoltado,enfrent situac dificil ser voc pod orient,ola gostaria saber sobre solucionar falhas eletricas
241,agradeço de todo coraçao nao sei o que seria sem voce,otimo vou encerrar a conversa,revoltado,preciso de suporte para solucionar um problema,ola gost de sab mais sobr com solucion falh eletr
242,agradeço todo coraçao nao sei voce,otimo vou encerrar conversa,estou revolt,preciso suporte solucionar problema,ola gost sab sobr solucion falh eletr
243,agradec de tod coraça nao sei o que ser sem voc,otim vou encerr a convers,revolt,precis de suport par solucion um problem,fala ai tudo ok
244,agradec tod coraça nao sei voc,otim vou encerr convers,nao me conformo,precis suport solucion problem,fal ai tud ok
245,agradec de tod corac nao sei o que ser sem voc,encerrar conversa obrigado pelo suporte prestado,nao conformo,precis suport par solucion problem,oi preciso de uma soluçao
246,agradec tod corac nao sei voc,encerrar conversa obrigado suporte prestado,nao me conform,prec de suport par solucion um probl,oi preciso soluçao
247,obrigado por estar sempre disponivel voce e incrivel,encerr convers obrig pel suport prest,nao conform,prec suport par solucion probl,oi precis de uma soluça
248,obrigado sempre disponivel voce incrivel,encerr convers obrig suport prest,nunca mais compro aqui,prec suport solucion probl,oi precis soluça
249,obrig por estar sempr disponivel voc e incrivel,encerrar dialogo agradeço pelo atendimento,nunca compro aqui,estou com dificuldades para encontrar uma soluçao pode me ajudar,oi prec de uma soluc
250,obrig sempr disponivel voc incrivel,encerrar dialogo agradeço atendimento,nunc mais compr aqu,dificuldades encontrar soluçao pode ajudar,oi prec soluc
251,muito obrigado pela gentileza e compreensao,encerr dialog agradec pel atend,nunc compr aqu,estou com dificuldad par encontr uma soluça pod me ajud,boa tarde preciso de ajuda com um problema mecanico
252,obrigado gentileza compreensao,encerr dialog agradec atend,triste com essa situaçao,dificuldad encontr soluça pod ajud,boa tarde preciso ajuda problema mecanico
253,muit obrig pel gentil e compreensa,obrigado a pelo suporte,triste situaçao,dificuldad par encontr soluça pod ajud,boa tard precis de ajud com um problem mecan
254,obrig gentil compreensa,obrigado suporte,trist com essa situaça,estou com dificuldad par encontr uma soluc pod me ajud,boa tard precis ajud problem mecan
255,muit obrig pel gentil compreensa,obrig a pel suport,trist situaça,dificuldad par encontr soluc pod ajud,boa tard prec de ajud com um probl mecan
256,muit obrig pel gentil e compreens,obrig suport,trist com essa situac,dificuldad encontr soluc pod ajud,boa tard prec ajud probl mecan
257,muit obrig pel gentil compreens,obrig pel suport,trist situac,tenho uma dificuldade e gostaria de pedir sua ajuda,oi boa noite
258,obrig gentil compreens,agradeço pelos esclarecimentos finalizar conversa,nao esperava isso,dificuldade gostaria pedir ajuda,oi boa noit
259,agradeço muito pela ajuda valiosa,agradeço esclarecimentos finalizar conversa,nao esperava,tenh uma dificuldad e gost de ped sua ajud,bom dia pode me dar uma dica
260,agradeço ajuda valiosa,agradec pel esclarec finaliz convers,nao esper isso,dificuldad gost ped ajud,bom dia pode dar dica
261,agradec muit pel ajud valios,agradec esclarec finaliz convers,nao esper,tenh dificuldad gost ped ajud,bom dia pod me dar uma dic
262,agradec ajud valios,acabou meu tempo disponivel encerrar conversa,estou indignado,estou com um desafio e preciso de orientaçao para supera lo,bom dia pod dar dic
263,agradec muit pel ajud vali,acabou tempo disponivel encerrar conversa,indignado,desafio preciso orientaçao supera lo,bom dia como esta
264,agradec ajud vali,acab meu temp disponivel encerr convers,estou indign,estou com um desafi e precis de orientaça par sup lo,bom dia com esta
265,agradec muit pel ajud val,acab temp disponivel encerr convers,indign,desafi precis orientaça sup lo,boa noite como faço para entender as especificaçoes tecnicas de uma valvula hidraulica
266,agradec ajud val,consegui solucionar meu problema podemos encerrar a conversa,nao vale a pena,desafi precis orientaça par sup lo,boa noite faço entender especificaçoes tecnicas valvula hidraulica
267,obrigado pela paciencia em me explicar,consegui solucionar problema podemos encerrar conversa,nao vale pena,estou com um desaf e prec de orientac par sup lo,boa noite como faço para entender a especificaçoes tecnicas de uma valvula hidraulica
268,obrigado paciencia explicar,consegu solucion meu problem pod encerr a convers,nao val a pen,desaf prec orientac par sup lo,boa noit com fac par entend as especificaço tecnic de uma valvul hidraul
269,obrig pel pacienc em me explic,consegu solucion problem pod encerr convers,nao val pen,desaf prec orientac sup lo,boa noit com fac par entend a especificaço tecnic de uma valvul hidraul
270,obrig pacienc explic,consegu solucion meu probl pod encerr a convers,uma vergonha,nao consigo entender o que esta acontecendo pode me explicar,boa noit fac entend especificaço tecnic valvul hidraul
271,obrig pel pacienc explic,consegu solucion probl pod encerr convers,vergonha,nao consigo entender acontecendo pode explicar,boa noit fac par entend especificaço tecnic valvul hidraul
272,muito obrigado voce fez a diferença,muito obrigado pela assistencia encerrando agora,uma vergonh,nao consig entend o que esta acontec pod me explic,boa noit com fac par entend as especificac tecnic de uma valvul hidraul
273,obrigado voce fez diferença,obrigado assistencia encerrando agora,vergonh,nao consig entend acontec pod explic,boa noit com fac par entend a especificac tecnic de uma valvul hidraul
274,muit obrig voc fez a diferenc,muit obrig pel assistenc encerr agor,total descaso,estou com um contratempo e preciso de assistencia,boa noit fac par entend especificac tecnic valvul hidraul
275,obrig voc fez diferenc,obrig assistenc encerr agor,total descas,contratempo preciso assistencia,boa noit fac entend especificac tecnic valvul hidraul
276,muit obrig voc fez diferenc,encerrar dialogo agradeço pela ajuda,total desc,estou com um contratemp e precis de assistenc,alguem ai
277,agradeço demais por toda sua dedicaçao,encerrar dialogo agradeço ajuda,me sinto lesado,contratemp precis assistenc,algu ai
278,agradeço demais toda dedicaçao,encerr dialog agradec pel ajud,sinto lesado,estou com um contratemp e prec de assistenc,ola amigos
279,agradec dem por tod sua dedicaça,encerr dialog agradec ajud,me sint les,contratemp prec assistenc,ola amigo
280,agradec dem tod dedicaça,obrigado foi util,sint les,estou com uma dificuldade enorme e preciso de alguem que possa me auxiliar,ola amig
281,agradec dem por tod sua dedicac,obrigado util,me sint le,dificuldade enorme preciso alguem possa auxiliar,e ai qual e a ideia
282,agradec dem tod dedicac,obrig foi util,sint le,estou com uma dificuldad enorm e precis de algu que poss me auxili,ai ideia
283,obrigado pela orientaçao foi de grande valia,obrig util,tratamento desrespeitoso,dificuldad enorm precis algu poss auxili,e ai qual e a ide
284,obrigado orientaçao grande valia,encerrar chatbot obrigado pelo suporte,tratament desrespeit,estou com uma dificuldad enorm e precis de algu que po me auxili,ai ide
285,obrig pel orientaça foi de grand val,encerrar chatbot obrigado suporte,falta de consideraçao,estou com uma dificuldad enorm e prec de algu que poss me auxil,e ai precisando de ajuda
286,obrig orientaça grand val,encerr chatbot obrig pel suport,falta consideraçao,dificuldad enorm precis algu po auxili,ai precisando ajuda
287,obrig pel orientaça grand val,encerr chatbot obrig suport,falt de consideraça,estou com uma dificuldad enorm e prec de algu que po me auxil,e ai precis de ajud
288,obrig pel orientac foi de grand val,entendi tudo o que precisava encerrar atendimento,falt consideraça,dificuldad enorm prec algu poss auxil,ai precis ajud
289,obrig pel orientac grand val,entendi tudo precisava encerrar atendimento,falt de considerac,dificuldad enorm prec algu po auxil,e ai prec de ajud
290,obrig orientac grand val,entend tud o que precis encerr atend,falt considerac,nao sei como lidar com isso sera que voce pode me dar um conselho,ai prec ajud
291,muito obrigado sou imensamente grato,entend tud precis encerr atend,muito chateado,nao sei lidar sera voce pode dar conselho,tudo bom
292,obrigado imensamente grato,entend tud o que prec encerr atend,chateado,nao sei como lidar com isso serum que voce pode me dar um conselho,tud bom
293,muit obrig sou imens grat,entend tud prec encerr atend,muit chat,nao sei com lid com isso ser que voc pod me dar um conselh,boa tarde gostaria de saber se e possivel consertar um motor danificado
294,obrig imens grat,ok muito obrigado,chat,nao sei lidar serum voce pode dar conselho,boa tarde gostaria saber possivel consertar motor danificado
295,muit obrig imens grat,ok obrigado,nao quero mais,nao sei com lid com isso serum que voc pod me dar um conselh,boa tard gost de sab se e possivel consert um motor danific
296,agradeço de coraçao voce e excepcional,ok muit obrig,nao quero,nao sei lid ser voc pod dar conselh,boa tard gost sab possivel consert motor danific
297,agradeço coraçao voce excepcional,ok obrig,nao quer mais,nao sei lid serum voc pod dar conselh,ola pode me ajudar
298,agradec de coraça voc e excepcional,por hoje e so encerrar atendimento,nao quer,nao sei lid voc pod dar conselh,ola pode ajudar
299,agradec coraça voc excepcional,hoje so encerrar atendimento,um absurdo,estou enfrentando um problema e nao sei por onde começar pode me dar um norte,ola pod me ajud
